model,train_acc,train_f1,train_mcc,val_acc,val_f1,val_mcc,test_acc,test_f1,test_mcc
4_workers,0.964898455217694,0.9616573586631327,0.9235527266575564,0.9646793187922434,0.9614977046785051,0.9232250615145767,0.9647838021309879,0.9615558960333177,0.9233381231383482
2_workers,0.9182402815148171,0.9127536428273817,0.8273402535782598,0.9180853575750421,0.9127438087551437,0.8273430902779139,0.9180897848351584,0.9126282923392207,0.8270911051414486
8_workers,0.9657658295821513,0.9626140410864443,0.9254484363783388,0.9657167734128272,0.9626354154504442,0.925487576133334,0.9656586287299667,0.9625205600006513,0.9252494264048738
single_training,0.9748258518143841,0.9726869767598332,0.945375076293902,0.9746377025471503,0.9725382318356282,0.9450784056956238,0.974624125616127,0.9724844039401495,0.9449708637330968
