model,train_acc,train_f1,train_mcc,val_acc,val_f1,val_mcc,test_acc,test_f1,test_mcc
4_workers,0.9931435565795674,0.9931745931716712,0.991788685876175,0.992904644708593,0.9929412994636818,0.9915045684966636,0.9930775192174769,0.9931145568442097,0.9917096223754998
2_workers,0.9967566895323873,0.9967731663369269,0.9961123899392591,0.9963083206786406,0.9963359411729593,0.9955767026835426,0.9963869048865802,0.996405169014436,0.9956693618630047
8_workers,0.9929079174739488,0.9929390344692751,0.991507369931547,0.9927606430329371,0.9927969789031503,0.9913328802969467,0.9928994826466707,0.9929369899112369,0.9914971465894731
single_training,0.9967763261245222,0.9967930936319348,0.9961359659738972,0.9962952296172174,0.9963238136881665,0.9955611724488761,0.9963869048865802,0.996405319620233,0.9956693954393915
