model,train_acc,train_f1,train_mcc,val_acc,val_f1,val_mcc,test_acc,test_f1,test_mcc
4_workers,0.9962608904833126,0.9759418946120126,0.9520759997337778,0.9961301523883235,0.9753098152809887,0.950776891250771,0.9960004685643523,0.9742474472811281,0.948716139153119
2_workers,0.9963314890546067,0.9764274803419024,0.9530755367946304,0.9961615295311209,0.9755549404332386,0.9513031363018568,0.9961176096524257,0.9750313765988925,0.9503111409521394
8_workers,0.9960909309598268,0.9748832924381983,0.9499878561614578,0.9958791352459445,0.9737340410041073,0.947643512802103,0.9958665930351256,0.9734380416100796,0.9471423332772363
single_training,0.9962870381023105,0.9764104898024268,0.9533578127943475,0.9962452019119139,0.9763480281841896,0.9531786326946511,0.9959753669026223,0.9743724585196987,0.9492752570670694
